0.0025,2.1
0.005,1.9
0.0075,1.8
0.01,2.1
0.0125,1.8
0.015,2
0.0175,2
0.02,1.9
0.0225,1.7
0.025,1.6
0.0275,1.8
0.03,1.9
0.0325,2
0.035,2
0.0375,1.8
0.04,1.8
0.0425,2
0.045,1.9
0.0475,2.1
0.05,1.9
0.0525,1.6
0.055,1.8
0.0575,1.8
0.06,1.7
0.0625,2
0.065,1.5
0.0675,2
0.07,1.7
0.0725,1.3
0.075,1.5
0.0775,1.4
0.08,2.3
0.0825,1.2
0.085,1.7
0.0875,1.6
0.09,1.8
0.0925,1.5
0.095,1.5
0.0975,1.9
0.1,2
0.1025,1.3
0.105,1.5
0.1075,1.9
0.11,1.7
0.1125,1.6
0.115,1.7
0.1175,1.8
0.12,1.7
0.1225,1.6
0.125,1.5
0.1275,1.1
0.13,1.6
0.1325,1.2
0.135,1.7
0.1375,1.7
0.14,1.1
0.1425,1.8
0.145,1.3
0.1475,1.5
0.15,1.6
0.1525,1.3
0.155,1.8
0.1575,1.5
0.16,1.5
0.1625,1.7
0.165,1.2
0.1675,1.6
0.17,1.6
0.1725,1.5
0.175,1.6
0.1775,1.6
0.18,2.1
0.1825,1.6
0.185,1.5
0.1875,1.4
0.19,1.3
0.1925,1.6
0.195,1.1
0.1975,1.5
0.2,1.6
0.2025,1.2
0.205,1.5
0.2075,1.6
0.21,1.5
0.2125,1.2
0.215,1.3
0.2175,1.8
0.22,1.1
0.2225,1.3
0.225,1.3
0.2275,1.5
0.23,1.3
0.2325,1.2
0.235,1.5
0.2375,1.4
0.24,1.6
0.2425,1.3
0.245,1
0.2475,1.5
0.25,1.4
0.2525,1
0.255,1.3
0.2575,1.1
0.26,1.4
0.2625,1.3
0.265,1.2
0.2675,1.3
0.27,1.1
0.2725,1.4
0.275,1.6
0.2775,1
0.28,1.7
0.2825,1
0.285,1
0.2875,1.2
0.29,1
0.2925,1.4
0.295,1.1
0.2975,1.2
0.3,1.5
0.3025,1.3
0.305,1.4
0.3075,1.1
0.31,1.5
0.3125,1.5
0.315,0.7
0.3175,1.3
0.32,1
0.3225,0.9
0.325,1.3
0.3275,0.9
0.33,1.6
0.3325,1.1
0.335,0.6
0.3375,1.2
0.34,0.8
0.3425,1.1
0.345,1.1
0.3475,1.2
0.35,1.3
0.3525,1.1
0.355,1.4
0.3575,1
0.36,1.1
0.3625,1.1
0.365,0.8
0.3675,1.5
0.37,1.1
0.3725,1
0.375,1.4
0.3775,1
0.38,0.9
0.3825,0.9
0.385,0.6
0.3875,1
0.39,1.2
0.3925,1.3
0.395,1.1
0.3975,0.8
0.4,0.7
0.4025,1.2
0.405,1
0.4075,1.1
0.41,1.5
0.4125,1
0.415,0.8
0.4175,1.4
0.42,1.1
0.4225,1.1
0.425,1.1
0.4275,0.9
0.43,1.5
0.4325,0.6
0.435,0.8
0.4375,0.8
0.44,1
0.4425,1.1
0.445,0.7
0.4475,1.4
0.45,1.4
0.4525,0.8
0.455,0.9
0.4575,0.9
0.46,0.8
0.4625,0.9
0.465,0.9
0.4675,1.1
0.47,0.9
0.4725,1
0.475,0.9
0.4775,0.9
0.48,1.1
0.4825,1.2
0.485,1.1
0.4875,0.6
0.49,0.7
0.4925,0.9
0.495,0.7
0.4975,0.9
0.5,0.9
0.5025,0.9
0.505,1.2
0.5075,0.7
0.51,0.9
0.5125,0.9
0.515,0.7
0.5175,1
0.52,0.7
0.5225,1
0.525,1
0.5275,0.6
0.53,0.7
0.5325,0.7
0.535,1
0.5375,0.8
0.54,0.6
0.5425,1.2
0.545,0.8
0.5475,1.1
0.55,1
0.5525,0.8
0.555,1
0.5575,0.6
0.56,1.1
0.5625,0.9
0.565,0.7
0.5675,0.7
0.57,0.7
0.5725,0.5
0.575,0.6
0.5775,0.5
0.58,1.2
0.5825,0.9
0.585,0.5
0.5875,0.7
0.59,1
0.5925,1.1
0.595,0.3
0.5975,0.5
0.6,1.1
0.6025,0.6
0.605,1.1
